Name,OpClass,OpScope,OpType,OpReturnType,OperatorFlag,OriginalVersion,CodeFirstAdded,CodeAltered,ChangeRefSet,OSVersion,NumberOfArgs,HasNeededArguments,IsDotOp,HasDotOpVersion,HasLoopVariable,HasRegExArgument,HasScopeArgument,HasConditionalArgument,HasOptionalArgument,HasStyledOutput,HonoursLinkType,HasNoCodeSample,Text,TextJa
- (i.e. subtraction),Operator,Item,Mathematical,Number,false,1.0.0,Baseline,,,,,false,false,false,false,false,false,false,false,false,,false,"- (i.e. subtraction)
The subtraction operator, - (minus sign character), returns the remainder of the argument before it when the argument after it is subtracted.
	$MyNumber = 3-4; 
When mixing data types (a '-' might be intended as a hyphen) or if working with lists—i.e. List & Set types—see notes under concatenation.","- （すなわち減算）
減算演算子「-」（マイナス記号）は、その前の引数からその後の引数を引いた結果を返します。
	$MyNumber = 3-4; 
データ型を混在させる場合（「-」がハイフンを意図している可能性があります）、またはリスト（すなわち List型やSet型）を扱う場合は、連結（concatenation）の項にある注記を参照してください。"
-= (i.e. decrement),Operator,Item,Mathematical,Number,false,9.1.0,Baseline,,,,,false,false,false,false,false,false,false,false,false,,false,"-= (i.e. decrement)
This assignment operator is a convenient shorthand for decrementing an attribute. For example, the two following statements are equivalent:
$MyNumber -= 3; 
$MyNumber = $MyNumber - 3; 
This operator may also be used with Lists and Sets.","-= (デクリメント)
この代入演算子は、属性の値を減算するための便利な短縮形です。例えば、以下の2つの文は等価です。
$MyNumber -= 3; 
$MyNumber = $MyNumber - 3; 
この演算子は、リスト（List）型やセット（Set）型でも使用できます。"
!= (i.e. value inequality),Operator,Query,Query Boolean,boolean test,false,4.6.0,Baseline,,,,,false,false,false,false,false,false,false,false,false,,false,"!= (i.e. inequality test)
The operator to test inequality (i.e. 'is not the same as') is '!=', an exclamation mark followed by an equals sign.
This operator is used either in agent queries or in the conditional part of an if(condition){action} code. It is the functional opposite of the '==' equality test.
This test cannot be meaningfully applied to Set or List type attribute data, as the entire attribute value is matched, rather than individual values as might otherwise be assumed. For these data types use the .contains() or .icontains() operators instead, noting the scope for ambiguous matching due to stemming of words (""car"" with match ""car"", ""cars"" and ""carrot"").
Because equality comparisons of Date-type data match at day scope, rather than full date/time values (for legacy reasons), use interval() to compare Date-type inequality.
Equality testing can be negated, i.e. nested for a non-match, or combined with greater/less than for a range of tests as further explored in Basic Comparison Codes.
For a case-insensitive lexical equality test, use a lowercase on-the-fly transform:
	""Absquatulate"".lowercase != ""Absquatulate"" 
If we set $MyString to ""Absquatulate"", then:
	$MyString.lowercase != ""Absquatulate"" 
If $MyOtherString(Some note) has the value ""Absquatulate"", then:
	$MyString.lowercase != $MyOtherString(Some note) 
Note the stored left-side value is not altered, but its transformed version is used in the test giving a case-insensitive comparison. This method only works for upper/lower case comparisons; accented characters are lexically different characters regardless of case.","!= （不等価テスト）
不等価（すなわち「～と同じではない」）をテストする演算子は '!=' で、感嘆符の後に等号が続きます。
この演算子は、エージェントのクエリ、または if(condition){action} コードの条件部分で使用されます。これは '==' 等価テストの機能的な対極にあります。
このテストは、Set 型または List 型の属性データには意味のある適用ができません。想定されるような個別の値ではなく、属性値全体が照合されるためです。これらのデータ型については、代わりに .contains() または .icontains() 演算子を使用してください。その際、単語のステミング（「car」が「car」、「cars」、「carrot」に一致するなど）による曖昧な一致の可能性があることに注意してください。
Date 型データの等価比較は、（過去の経緯から）完全な日付/時刻値ではなく日付単位で一致するため、Date 型の不等価を比較するには interval() を使用してください。
等価テストは否定（つまり、不一致のためにネストする）したり、「Basic Comparison Codes」で詳しく説明されているように、範囲テストのために大なり/小なり記号と組み合わせたりすることができます。
大文字と小文字を区別しない語彙の等価テストには、その場での lowercase 変換を使用します：
	""Absquatulate"".lowercase != ""Absquatulate"" 
$MyString を ""Absquatulate"" に設定した場合、次のようになります：
	$MyString.lowercase != ""Absquatulate"" 
$MyOtherString(Some note) の値が ""Absquatulate"" である場合、次のようになります：
	$MyString.lowercase != $MyOtherString(Some note) 
保存されている左辺の値は変更されず、変換されたバージョンがテストで使用されることで、大文字と小文字を区別しない比較が行われることに注意してください。この方法は大文字と小文字の比較にのみ有効です。アクセント付き文字は、大文字小文字に関わらず語彙的に異なる文字として扱われます。"
... (i.e. range),Operator,Item,Mathematical,List,false,9.1.0,Baseline,,,,,false,false,false,false,false,false,false,false,false,,false,"... (i.e. range)
The range operator constructs a list of numbers from a specified starting point to a specified end point. Note: the range operator is written as 3 dots and not an ellipsis character. White space immediately before or after the operator is ignored as with other mathematical operators. For example:
	1…3 → ""1;2;3""
	3 … 1 → ""3;2;1""
Note do not use enclosing quotes or square brackets with the range operator as the operator will not be correctly evaluated, resulting in the wrong outcome.
	[1…3] → ""1 ... 3"" WRONG!
	""1…3"" → ""1 ... 3"" WRONG!
The range operator binds more tightly than arithmetic operators. Thus
	1...3 * 2 → ""2;4;6""
and is the is the same as
	(1..3) * 2 → ""2;4;6"" 
i.e. the parentheses in the second example are not needed.
The range operator can be useful for performing a task a specific number of times using the List.each() operator:
	 1...10.each(x){var vPath=""/container/item ""+x; create(vPath);} 
and in that example the value of the loop variable x is the value for the source list generated by the range operator, i.e. it is the same as would occur in this literal example:
	""1;2;3;4;5;6;7;8;9;10"".each(x){var vPath=""/container/item ""+x; create(vPath);} 
In both cases, on the second iteration of the .each() loop, the loop variable x would have the value 2.
Using non-literal range specifiers
It may be useful to define one or both range limits. For example, if $MyNumber is 3:
	$MyList = [1 ... $MyNumber]; gives ""1;2;3""
or if variable vNum is 4:
	$MyList = 1 ..vNum; gives ""1;2;3;5""
But for more complex expressions using chained operators, parentheses my be needed to hint intent to Tinderbox. Thus, if $MySet has 4 items:
	$MyList = 1 ... $MySet.size; gives ""1"" WRONG
so add parentheses around the expression:
	$MyList = 1 ... ($MySet.size); gives ""1;2;3;4"" CORRECT
If chaining operators to range specified using expressions, consider using parentheses around the whole range definition:
	(1 ... ($MySet.size)).each(x){$Text+= x+""\n"";}; 
The last example actually works without the parentheses but illustrates the concept.
Using range to supply a loop counter
When working with List.each(), it can be useful to know which source list item is being currently in scope. It is possible to use a variable (see here), but the range operator offers another method. In this method a range-generated list is iterated and in-loop the list being processed is called via List.at(). It in important to note that as .at() numbers from zero, either the range must start from zero, or the range item used with at must be adjusted by -1.
In the following example, $MyList holds the data of interest, and a zero-based range with be generated:
	(0 ... ($MyList.count)).each(N){
		$MyList.at(N) ..tc.
	}
Thus for loop #3, the value of N will be 2 (recall the range code is making a zero based list of numbers). Thus in-loop, $MyList.at(N) will be the same as $MyList.at(2), i.e. addressing the the third item in $MyList.","範囲演算子（range operator）は、指定された開始点から指定された終了点までの数値のリストを作成します。注意：範囲演算子は、省略記号（…）ではなく、3つのドット（...）で記述されます。他の数学演算子と同様に、演算子の直前または直後の空白は無視されます。例：
	1...3 → ""1;2;3""
	3 ... 1 → ""3;2;1""
範囲演算子を引用符や角括弧で囲まないように注意してください。演算子が正しく評価されず、誤った結果を招く可能性があります。
	[1...3] → ""1 ... 3"" 誤り！
	""1...3"" → ""1 ... 3"" 誤り！
範囲演算子は算術演算子よりも強く結びつきます。したがって、
	1...3 * 2 → ""2;4;6""
となり、これは
	(1...3) * 2 → ""2;4;6""
と同じです。つまり、2番目の例の括弧は不要です。
範囲演算子は、List.each() 演算子を使用して特定の回数だけタスクを実行する際に便利です。
	 1...10.each(x){var vPath=""/container/item ""+x; create(vPath);} 
この例では、ループ変数 x の値は範囲演算子によって生成されたソースリストの値になります。つまり、次のリテラルの例と同じことが起こります。
	""1;2;3;4;5;6;7;8;9;10"".each(x){var vPath=""/container/item ""+x; create(vPath);} 
どちらの場合も、.each() ループの2回目のイテレーションで、ループ変数 x の値は 2 になります。

非リテラルの範囲指定子の使用
範囲の境界の一方または両方を定義すると便利な場合があります。例えば、$MyNumber が 3 の場合：
	$MyList = [1 ... $MyNumber]; は ""1;2;3"" を与えます。
あるいは、変数 vNum が 4 の場合：
	$MyList = 1 ..vNum; は ""1;2;3;5"" を与えます。
しかし、チェーン演算子を使用したより複雑な式の場合、Tinderbox に意図を伝えるために括弧が必要になることがあります。例えば、$MySet に 4 つの項目がある場合：
	$MyList = 1 ... $MySet.size; は ""1"" を与えます（誤り）。
そのため、式の周囲に括弧を追加します。
	$MyList = 1 ... ($MySet.size); は ""1;2;3;4"" を与えます（正しい）。
式を使用して指定された範囲に演算子をチェーンする場合は、範囲定義全体を括弧で囲むことを検討してください。
	(1 ... ($MySet.size)).each(x){$Text+= x+""\n"";}; 
最後の例は実際には括弧がなくても動作しますが、概念を説明しています。

範囲を使用してループカウンターを提供する
List.each() を使用する場合、現在どのソースリスト項目がスコープ内にあるかを知ると便利なことがあります。変数を使用することも可能ですが（こちらを参照）、範囲演算子は別の方法を提供します。この方法では、範囲によって生成されたリストが反復処理され、ループ内で処理中のリストが List.at() を介して呼び出されます。.at() は 0 から数え始めるため、範囲を 0 から開始するか、at で使用する範囲項目を -1 調整する必要があることに注意してください。
次の例では、$MyList が対象のデータを保持しており、0 ベースの範囲が生成されます。
	(0 ... ($MyList.count)).each(N){
		$MyList.at(N) ..tc.
	}
したがって、3回目のループでは、N の値は 2 になります（範囲コードが 0 ベースの数値リストを作成していることを思い出してください）。その結果、ループ内では $MyList.at(N) は $MyList.at(2) と同じになり、つまり $MyList の 3 番目の項目を参照することになります。"
(!$AttributeName) (i.e. a short form test for no value),Operator,Item,Query Boolean,boolean test,false,4.6.0,Baseline,,,,,false,false,false,false,false,false,false,false,false,,false,"(!$AttributeName)
In queries and conditional action code expressions, preceding a '$'-prefixed attribute name with an exclamation mark functions as a shortened form of the Boolean test for a false value. Due to limitations in the underlying parser, an inequality test expression must be enclosed in parentheses.Thus the following are functional equivalents:
	$MyBoolean==false 
	(!$MyBoolean) 
Do not use this form or you may get unexpected results:
	!$MyBoolean Do not use this format, without parentheses!
In both cases the result is false if the value of $MyBoolean is false. 
Usefully Tinderbox also useful supports such short-form !$AttributeName tests for all the other attribute data types, returning true if the attribute has a default value. Per data type, this equates to long form tests like:
	$MyBoolean==false 
	$MyColor=="""" 
	$MyDate==""never"" 
	$MyDictionary=="""" 
	$MyFile=="""" 
	$MyInterval==""00:00"" 
	$MyList==[] (or (deprecated) $MyList=="""") 
	$MyNumber==0 
	$MySet==[] (or (deprecated) $MyList=="""") 
	$MyString=="""" 
	$MyURL=="""" 
This also holds for system-only data types:
	$MyAction=="""" 
	$MyFont=="""" 
In all these cases a short-form test returns true if the attribute value is the default for that data type.
This test is the logical opposite of the $AttributeName test.","(!$AttributeName)
クエリや条件付きのアクションコード式において、'$' が付いた属性名の前に感嘆符（!）を置くと、Boolean の偽（false）判定の短縮形として機能します。基礎となるパーサーの制限により、この否定判定式は括弧で囲む必要があります。したがって、以下は機能的に同等です：
	$MyBoolean==false 
	(!$MyBoolean) 
以下の形式は使用しないでください。予期しない結果を招く可能性があります：
	!$MyBoolean （括弧なしのこの形式は使用しないでください！）
どちらの場合も、$MyBoolean の値が false であれば、結果は false となります。
便利なことに、Tinderbox は他のすべての属性データ型に対しても、このような !$AttributeName 短縮形式のテストをサポートしており、属性がデフォルト値である場合に true を返します。データ型ごとに、これは以下のような長い形式のテストと同等です：
	$MyBoolean==false 
	$MyColor=="""" 
	$MyDate==""never"" 
	$MyDictionary=="""" 
	$MyFile=="""" 
	$MyInterval==""00:00"" 
	$MyList==[] （または（非推奨）$MyList==""""） 
	$MyNumber==0 
	$MySet==[] （または（非推奨）$MyList==""""） 
	$MyString=="""" 
	$MyURL=="""" 
これはシステム専用のデータ型にも当てはまります：
	$MyAction=="""" 
	$MyFont=="""" 
これらのすべてのケースにおいて、短縮形式のテストは、属性値がそのデータ型のデフォルト値である場合に true を返します。
このテストは $AttributeName テストの論理的な反対です。"
* (i.e. multiplication),Operator,Item,Mathematical,Number,false,4.6.0,Baseline,,,,,false,false,false,false,false,false,false,false,false,,false,"* (i.e. multiplication)
The multiplication operator, * (asterisk character), returns the multiplication of the arguments before and after it.
	$MyNumber = 3*4; 
Both arguments are normally Number-type data.
Multiplying Strings
Sometimes there is a need to expand or repeat a String. For this, the multiplication operator * may be used. Due to Tinderbox's internal type coercion effects, the number argument must be used as the first argument; placing it after the * will cause a silent fail with no resulting output. Thus, the expression:
	$MyString = 3*""xyz ""; 
evaluates to a string ""xyz xyz xyz"". But this:
	$MyString = ""xyz ""*3; WRONG!
will return nothing.
Multiplying Lists and Sets
Lists and Sets of numbers may be multiplied by a number. Two lists of numbers may be multiplied if they have the same length, in which case their elements are multiplied.
	[1;2;3;4] * [1;2;3;4]; ➛ [1;4;9;12] 
or, using the range operator:
	1...4 * 1...4 ➛ 1;4;9;12","*（乗算）
乗算演算子 *（アスタリスク記号）は、その前後の引数を乗算した結果を返します。
	$MyNumber = 3*4;
通常、両方の引数は数値（Number）型のデータです。

文字列の乗算
文字列を拡張したり繰り返したりする必要がある場合があります。このため、乗算演算子 * を使用できます。Tinderbox の内部的な型強制（type coercion）の影響により、数値の引数を第1引数として使用する必要があります。* の後に数値を配置すると、結果が出力されず、暗黙的に失敗します。したがって、次の式：
	$MyString = 3*""xyz "";
は文字列 ""xyz xyz xyz"" と評価されます。しかし、次のように：
	$MyString = ""xyz ""*3; 誤り！
と記述しても、何も返されません。

リストとセットの乗算
数値のリスト（List）やセット（Set）は、数値と乗算できます。2つの数値リストは、それらの長さが同じであれば乗算でき、その場合、各要素が乗算されます。
	[1;2;3;4] * [1;2;3;4]; ➛ [1;4;9;12]
または、範囲演算子（range operator）を使用して：
	1...4 * 1...4 ➛ 1;4;9;12"
/ (i.e. division),Operator,Item,Mathematical,Number,false,4.6.0,Baseline,,,,,false,false,false,false,false,false,false,false,false,,false,"/ (i.e. division)
The division operator, / (forward slash character), returns the argument before it divided by the argument after it.
	$MyNumber = 3/4; 
By default, up to 5 decimal places are returned, so:
	$MyNumber = 10/3; 
results in $MyNumber having a value of 3.33333. 
Be aware the forward slash character has many other symbolic meanings (POSIX folder delimiter, linguistic use e.g. 'and/or', date component delimiters, etc.). Be careful to ensure to quote or escape the / character where you do not want Tinderbox to assume a division.","除算演算子 /（スラッシュ）は、前の引数を後の引数で割った結果を返します。
	$MyNumber = 3/4; 
デフォルトでは小数点以下最大5桁まで返されるため、
	$MyNumber = 10/3; 
とすると、$MyNumberの値は3.33333になります。
スラッシュ記号には、他にも多くの意味（POSIXのフォルダ区切り文字、'and/or'などの言語的用法、日付の区切り文字など）があることに注意してください。Tinderboxに除算と解釈させたくない箇所では、/ 文字を引用符で囲むかエスケープするようにしてください。"
& (i.e. query logical AND join),Operator,Query,Query Boolean,boolean test,false,4.6.0,Baseline,,,,,false,false,false,false,false,false,false,false,false,,false,"& (i.e. query logical AND join)
The ampersand, &, is used in queries and conditional statements as a logical AND join. Thus:
	if ($HasStock == true & $Price > 20) {$Badge=""ok"";} 
The note's $Badge is only set if both the first and the second argument are true.
See also the OR join and conditional statements using multiple arguments.","&（クエリの論理積結合）
アンパサンド（&）は、クエリや条件文で論理積（AND）結合として使用されます。
例：
	if ($HasStock == true & $Price > 20) {$Badge=""ok"";} 
第1引数と第2引数の両方が真（true）の場合にのみ、そのノートの$Badgeが設定されます。
論理和（OR）結合や、複数の引数を使用した条件文も参照してください。"
&= (i.e. logical AND assignment),Operator,Item,Assignment,assignment,false,4.6.0,Baseline,,,,,false,false,false,false,false,false,false,false,false,,false,"&= (i.e. logical AND assignment)
To make it easier to write rules succinctly, you can use the assignment:
	$TheAttribute &= the_expression; 
…which sets $TheAttribute to the value of the_expression only if it is currently evaluated as true AND the_expression is also evaluates as true. Thus, if $TheAttribute is false, the expression is still evaluated. An attribute that has no value set (or inherited) is evaluated as false.
For most attributes, especially new user attributes, the default value will evaluate as false. But, $TheAttribute's data type does not have to be Boolean.
For new String-type attributes (and string-based Action/Color/File/Font/Interval/List/Set/URL types) the default is an empty string """". For Number-type, is it 0 (zero). For Date-type, it is the string ""never"". For Boolean-type, is it 'false' (with no quotes, and shown as un-ticked if displayed via a tick-box). The """", 0 and ""never"" values—for the appropriate data types—evaluate as false. But, be aware that not all system attributes follow this assumption. For instance, the $Color default is preset to use a named Tinderbox colour, so its default value (even if inherited) would evaluate as true .
Prototypes have no direct effect as the outcome, as it initially depends on the evaluation of the left-side attribute value regardless of whether document default, prototype inherited or locally set.
For example, for the Boolean-type attribute $Urgent:
	$Urgent &= any(children,$Urgent); 
Thus a project is considered urgent if it has been declared to be urgent itself and if any child is urgent.
See also the logical OR assignment.
Errors to the function logic were corrected.","&= (論理AND代入)
ルールを簡潔に記述しやすくするために、以下の代入式を使用できます：
	$TheAttribute &= the_expression; 
これは、$TheAttribute が現在「真 (true)」と評価されており、かつ the_expression も「真」と評価される場合にのみ、$TheAttribute に the_expression の値を設定します。したがって、$TheAttribute が「偽 (false)」である場合でも、式は評価されます。値が設定（または継承）されていない属性は、「偽」として評価されます。
ほとんどの属性、特に新しいユーザー属性では、デフォルト値は「偽」と評価されます。ただし、$TheAttribute のデータ型は必ずしもブール型である必要はありません。
新しい文字列型属性（および Action, Color, File, Font, Interval, List, Set, URL などの文字列ベースの型）のデフォルトは、空文字列 """" です。数値型の場合は 0 (ゼロ) です。日付型の場合は ""never"" という文字列です。ブール型の場合は 'false' です（引用符なし。チェックボックスで表示される場合は未チェック状態）。これらの """"、0、""never"" という値は、それぞれのデータ型において「偽」と評価されます。ただし、すべてのシステム属性がこの前提に従うわけではないことに注意してください。例えば、$Color のデフォルトは特定の Tinderbox カラー名に設定されているため、そのデフォルト値は（継承されたものであっても）「真」と評価されます。
プロトタイプが結果に直接影響を与えることはありません。結果は、ドキュメントのデフォルト、プロトタイプからの継承、またはローカルでの設定に関係なく、まず左辺の属性値の評価に依存するためです。
例えば、ブール型属性 $Urgent の場合：
	$Urgent &= any(children,$Urgent); 
これにより、プロジェクト自体が緊急（urgent）と宣言されており、かつ、いずれかの子要素も緊急である場合にのみ、そのプロジェクトは緊急であると見なされます。
「論理OR代入」も参照してください。
関数のロジックに関するエラーが修正されました。"
%matches (query back-references),Property,Query,Data manipulation,List,false,9.6.0,Baseline,,,,,false,false,false,false,false,false,false,false,false,,false,"%matches
The expression %matches represents a list that contains all available back-references to regular expression matches. This is equivalent to the list of back reference values [$0;$1;$2….$N], where N is the count of available regular expression matches.
If $MyString is ""I do not like green eggs and ham."", then for this code:
	if($MyString.contains(""like (((green) (eggs)) and ham)"")){
		$MyList = %matches;
	};
$MyList now holds 5 back-references:
* $0: like green eggs and ham
* $1 green eggs and ham
* $2 green eggs
* $3 green
* $4 eggs
Query back-references are discussed in fuller detail here.","%matches
式 %matches は、利用可能なすべての正規表現マッチの後方参照を含むリストを表します。これは、後方参照の値のリスト [$0;$1;$2….$N]（N は利用可能な正規表現マッチの数）と同等です。
もし $MyString が ""I do not like green eggs and ham."" である場合、以下のコードにおいて：
	if($MyString.contains(""like (((green) (eggs)) and ham)"")){
		$MyList = %matches;
	};
$MyList は 5 つの後方参照を保持することになります：
* $0: like green eggs and ham
* $1 green eggs and ham
* $2 green eggs
* $3 green
* $4 eggs
クエリの後方参照については、こちらで詳しく説明されています。"
