Name,Text,TextJa
adornment,"The designator adornment allows notes on an adornment to refer to the adornment's attributes. Only available in an adornment's $OnAdd action and in no other contexts. This is similar to the 'Link type honouring operators' designator.\nIn this context, using parent would result in the value being taken from the parent of the current map view.\nIn all other contexts than the above, the adornment refers to the map view adornment(s) on which the current note rests. If the note overlaps two or more adornments, adornment designates the uppermost (front-most) adornment.\nIf the note overlaps no adornment, then adornment is bound to this. For example, the rule\n	$Color=$Color(adornment); \nwill change the note's colour to match the colour of an adornment, but leaves the colour unchanged if the note does not overlap an adornment. This latter usage, with an inherent 'if on adornment' switch makes for more flexible coding in maps.",指定子装飾により、装飾に関するメモで装飾の属性を参照できるようになります。装飾品の $OnAdd アクションでのみ使用可能で、他のコンテキストでは使用できません。これは、「演算子を尊重するリンク タイプ」指定子に似ています。\nこのコンテキストでは、parent を使用すると、現在のマップ ビューの親から値が取得されます。\n上記以外のすべてのコンテキストでは、装飾は、現在のノートが置かれているマップ ビューの装飾を指します。音符が 2 つ以上の装飾音と重なっている場合、装飾音は最も上 (最前面) の装飾音を指定します。\nノートが装飾音と重なっている場合、装飾音はこれにバインドされます。たとえば、次のようなルールがあります。\n$Color=$Color(装飾品);\n装飾の色と一致するようにメモの色が変更されますが、メモが装飾と重ならない場合は色は変更されません。後者の使用法では、固有の「if on 装飾」スイッチを使用すると、マップでのコーディングがより柔軟になります。
agent,"The designator agent allows the children of an agent (always aliases) to refer to the agent's attributes. N.B. this is only available in agent queries and actions (i.e. $AgentQuery and $AgentAction) and no other contexts. This is similar to the 'adornment' designator.\nIn this context, using parent would result in the value being taken from the parent of the original note to which the alias refers.",指定子エージェントを使用すると、エージェントの子 (常にエイリアス) がエージェントの属性を参照できるようになります。注：これはエージェントのクエリとアクション (つまり、$AgentQuery と $AgentAction) でのみ使用でき、他のコンテキストでは使用できません。これは「装飾」指定子に似ています。\nこのコンテキストで、parent を使用すると、エイリアスが参照する元のノートの親から値が取得されます。
child,"child\nThe designator child represents the oldest child (note) of the note currently in focus, thus the first as listed in Outline view. Mention in various references of 'oldest' deriving from creation/modification date are erroneous. 'Oldest' equates to the note whose $OutlineOrder attribute value is 1 greater than the current note's OutlineOrder value.\nThe logical opposite of this (first) child designator is lastChild; there is no firstChild designator.\nchild[N]\nThe designator can take an optional numbered offset N, in square brackets. N numbers up from zero and down from -1. Thus:\n	child[0] is the same as child\nwhilst:\n	child[1] is the second child\n	child[-1] is the last child (i.e. lastChild)\n	child[-2] is the last but one child\nLegacy code issue\nTo avoid ambiguity, the old group-scope 'child' designator is deprecated in favour of 'children'.",子供\n指示子の子は、現在フォーカスされているノートの最も古い子 (ノート) を表します。したがって、アウトライン ビューにリストされている最初の子になります。さまざまな参考文献で、作成日/変更日から派生した「最も古い」という記述は誤りです。「最も古い」は、$OutlineOrder 属性値が現在のノートの OutlineOrder 値より 1 大きいノートに相当します。\nこの (最初の) 子指定子の論理的反対は lastChild です。firstChild 指定子はありません。\n子供[N]\n指定子には、角括弧内にオプションの番号付きオフセット N を指定できます。N は 0 から増加し、-1 から減少する数値です。したがって:\nchild[0] は child と同じです\n一方:\nchild[1] は 2 番目の子です\nchild[-1] は最後の子 (つまり、lastChild) です。\nchild[-2] は最後から 1 人の子です\nレガシーコードの問題\n曖昧さを避けるために、古いグループスコープの「子」指定子は非推奨になり、「子」が優先されます。
cover,"The designator cover represents the top level note in the hierarchy, or the first listed if there is more than one at this level. It will be the first listed in an outline window that shows the whole document. It has an $OutlineOrder value of '1'. The cover note will be the first listed root note if there is more than one note at the highest Outline level.",デジグネータ カバーは、階層内の最上位ノート、またはこのレベルに複数のノートがある場合は最初にリストされるノートを表します。これは、ドキュメント全体を表示するアウトライン ウィンドウの最初にリストされます。$OutlineOrder 値は「1」です。最も高いアウトライン レベルに複数のノートがある場合、カバー ノートは最初にリストされるルート ノートになります。
current,"The designator current refers to the note which Tinderbox is currently exporting. Where a note is exported to its own page, current is the same as this.\nHowever, if a note includes children or other notes, current differs from this in the included notes reflecting the note actually being processed (and not the note that initiated the export). It is extremely useful for boilerplate-style includes that need to use attribute values from the calling note.\nFor instance, if 'Note X' is calling an include of the text of 'Note Y' and the latter makes a code reference to the note title then, in the include's code:\n	value($Name) gives Note Y.\n	value($Name(current)) gives Note X.\nNote that, when it appears outside an export template (e.g. in an agent or container action), current is synonymous with this.",現在の指定子は、Tinderbox が現在エクスポートしているメモを指します。ノートが独自のページにエクスポートされる場合、current はこれと同じです。\nただし、ノートに子ノートまたは他のノートが含まれている場合、current は、実際に処理されているノート (エクスポートを開始したノートではなく) を反映する含まれるノートという点でこれとは異なります。これは、呼び出し元のメモの属性値を使用する必要があるボイラープレート スタイルのインクルードに非常に役立ちます。\nたとえば、「ノート X」が「ノート Y」のテキストのインクルードを呼び出しており、後者がノート タイトルへのコード参照を作成する場合、インクルードのコードでは次のようになります。\nvalue($Name) は Note Y を与えます。\nvalue($Name(current)) は Note X を与えます。\nエクスポート テンプレートの外側 (エージェントまたはコンテナ アクションなど) に表示される場合、 current はこれと同義であることに注意してください。
firstSibling,"The designator firstSibling refers to the first sibling of this note, in outline order. Note that, if a note has no siblings, firstSibling, this, and lastSibling refer to the same note.",指定子 firstSibling は、アウトライン順でこのノートの最初の兄弟を指します。ノートに兄弟がない場合、firstSibling、this、lastSibling は同じノートを参照することに注意してください。
grandparent,"The designator grandparent describes the parent note of the current note's parent, i.e. its grandparent.\nIt is especially useful for representing the relationship of an exploded note to its source note as the former do not automatically inherit the latter's attributes.",指定子の祖父母は、現在のノートの親ノート、つまりその祖父母を表します。\nこれは、分解されたノートとそのソースノートの関係を表すのに特に便利です。前者は後者の属性を自動的には継承しないからです。
lastChild,"The designator lastChild refers to the last immediate child of the current note. For example:\n I. A note\nIa. Another Note\nIb. Yet Another Note\n II. Some Note\nIIc. Subsidiary stuff\n III. Different stuff\n IV. More Stuff\nThe lastChild of I is Ib. The lastChild of II is IIc. III has no lastChild.\nThe logical opposite of lastChild, i.e. the first child, is child [sic].\nUsing the optional child[N] notation, the equivalent of lastChild is child[-1]",指定子 lastChild は、現在のノートの最後の直接の子を参照します。たとえば:\nI. 注意事項\nああ。別のメモ\nIb.さらに別のメモ\nII.メモ\nIIc.補助的なもの\nⅢ．違うもの\nIV.もっと見る\nI の最後の子供は Ib です。II の最後の子は IIc です。III には lastChild がありません。\nlastChild の論理的反対、つまり最初の子は child [原文のまま] です。\nオプションの child[N] 表記を使用すると、lastChild に相当するのは child[-1] になります。
lastSibling,"The designator lastSibling refers to the last sibling of this note, in outline order. Note that, if a note has no siblings, firstSibling, this, and lastSibling refer to the same note.",指定子 lastSibling は、アウトライン順でこのノートの最後の兄弟を指します。ノートに兄弟がない場合、firstSibling、this、lastSibling は同じノートを参照することに注意してください。
library,"In a function call the designator library binds to, i.e. calls data from, the (library) note holding the function. this allows a function to have 'internal' attribute settings to assist with configuration of function process or to store global values.\nThe designator meaning has no value outside a function call. So in a note:\n	$MyResult = fDoSomething($ID,$MakeLists(designator)); \nwould return data from the calling note (accessed via $ID) and with the function's code modified by it reading the value of its $MakeLists attribute (in this case likely a boolean: do/do not make lists.\nOtherwise:\n	$MyResult = $MakeLists(designator); Dont' do this!\nreturns nothing. To read fDoSomething()'s $MakeList value externally, requires giving the name/path/ID of the library note whose $text contains the function. Thus if fDoSomething() is in the $Text of library note 'Test Library', $MakeList can be read thus:\n	$MyResult = $MakeLists(""Test Library""); \nNOTE: function 'designator' attribute values are thus shared by all functions in the same note. this may affect whether a single library note is used for multiple values or functions are store in discrete note or as groups of functions.","関数呼び出しでは、指定子ライブラリは、関数を保持する (ライブラリ) ノートにバインドされます。つまり、そこからデータが呼び出されます。これにより、関数プロセスの構成を支援したり、グローバル値を保存したりするために、関数に「内部」属性設定を持たせることができます。\n指定子の意味は、関数呼び出しの外では値を持ちません。したがって、メモでは次のようになります。\n$MyResult = fDoSomething($ID,$MakeLists(指定子));\n呼び出し元のメモ ($ID 経由でアクセス) からデータを返し、その $MakeLists 属性の値 (この場合はおそらくブール値: リストを作成する/しない) を読み取ることで関数のコードが変更されます。\nそれ以外の場合:\n$MyResult = $MakeLists(指定子);こんなことはしないでください！\n何も返しません。fDoSomething() の $MakeList 値を外部から読み取るには、$text に関数が含まれるライブラリ ノートの名前/パス/ID を指定する必要があります。したがって、 fDoSomething() がライブラリ ノート「Test Library」の $Text にある場合、$MakeList は次のように読み取ることができます。\n$MyResult = $MakeLists(""テスト ライブラリ"");\n注: したがって、関数の「デジグネータ」属性値は、同じメモ内のすべての関数で共有されます。これは、単一のライブラリ ノートが複数の値に使用されるか、関数が個別のノートに保存されるか関数のグループとして保存されるかに影響する可能性があります。"
next,"The designator next describes the next note in $OutlineOrder following current note.\nnext is a less closely designed test than nextSibling as the former may be at a different outline depth.\nnext will not match an adornment, separator, or item set to not export, but see nextItem.",次に、指定子は、$OutlineOrder 内の現在のノートに続く次のノートを記述します。\nnext は、nextSibling よりも厳密に設計されたテストではありません。前者は、アウトラインの深さが異なる可能性があるためです。\nnext は、エクスポートしないように設定された装飾、区切り文字、または項目と一致しません。ただし、nextItem を参照してください。
nextItem,"The designator nextItem describes the next note in $OutlineOrder following current note.\nnextItem differs from next in that it will match an adornment, separator, or item set to not export.",指定子 nextItem は、$OutlineOrder 内の現在のノートに続く次のノートを記述します。\nnextItem は、エクスポートしないように設定された装飾、セパレータ、または項目と一致するという点で next とは異なります。
nextSibling,"The designator nextSibling describes the sibling note in $OutlineOrder after the note in current focus; the next note on the same level, i.e. excluding children.\nnextSibling is a more closely designed test than next as the latter may be at a different outline depth.\nnextSibling will not match an adornment, separator, or item set to not export, but see nextSiblingItem.",指定子 nextSibling は、$OutlineOrder 内で現在フォーカスされているノートの後の兄弟ノートを記述します。同じレベルの次のノート、つまり子を除外します。\nnextSibling は、next よりも厳密に設計されたテストです。後者はアウトラインの深さが異なる可能性があるためです。\nnextSibling は、エクスポートしないように設定された装飾、セパレーター、または項目と一致しません。ただし、nextSiblingItem を参照してください。
nextSiblingItem,"The designator nextSiblingItem describes the sibling note in $OutlineOrder after the note in current focus; the next note on the same level, i.e. excluding children.\nnextSiblingItem differs from nextSibling in that it will match an adornment, separator, or item set to not export.",指定子 nextSiblingItem は、$OutlineOrder 内で現在フォーカスされているノートの後の兄弟ノートを記述します。同じレベルの次のノート、つまり子を除外します。\nnextSiblingItem は、エクスポートしないように設定された装飾、セパレータ、または項目と一致するという点で nextSibling とは異なります。
original,"The designator original is synonymous with this for all notes except alias. In the context of an alias, original is the alias's original note.\nThis designator is most useful in the context of an agent's action. For instance:\n	$Container=""/Bin""; \nwill move any matching aliases to the root-level note 'Bin' but the query will spawn a new alias next cycle; unless stopped, 'Bin' will fill with aliases as new ones are added each agent cycle. However:\n	$Container(original)=""/Bin""; \nwill move the original not of the alias to 'Bin' causing the original to be out of scope of the agent query and thus having the expected effect.","指定子のオリジナルは、エイリアスを除くすべてのノートについてこれと同義です。エイリアスのコンテキストでは、オリジナルはエイリアスの元のノートです。\nこの指定子は、エージェントのアクションのコンテキストで最も役立ちます。たとえば:\n$Container=""/Bin"";\n一致するエイリアスをルートレベルのメモ「Bin」に移動しますが、クエリは次のサイクルで新しいエイリアスを生成します。停止しない限り、エージェント サイクルごとに新しいエイリアスが追加されるため、「Bin」はエイリアスでいっぱいになります。ただし:\n$Container(original)=""/Bin"";\nエイリアスではないオリジナルが「Bin」に移動され、オリジナルがエージェント クエリの範囲外になり、期待どおりの効果が得られます。"
parent,"The designator parent describes the note containing the note currently in focus. In Tinderbox there is only one parent note per child or set of sibling children.\nTesting the 'parent' of an alias\nThe parent of an alias is the alias' own container (note or agent), not that of its original note. However, in more complex scenarios care needs to be taken to establish which alias/original note the user intends to reference. Where multiple aliases exist whether inside agents or elsewhere, there is scope for ambiguity if the user is not careful with their code. When using parent with aliases there are several useful considerations\n* The original designator, as in parent(original), will unambiguously indicate that it is the parent of the alias' original note that is being referenced\n* Only in agents, the Link type honouring operators designator can be used to allow agent aliases to refer to their 'parent' rather than the parent of the original note on which the alias is based.\n* The $Container attribute is intrinsic to an alias and potentially less ambiguous than $Name(parent) if trying to establish an aliases parentage within code.",指定子の親は、現在フォーカスされているノートを含むノートを説明します。Tinderbox では、子または兄弟の子のセットごとに親ノートが 1 つだけあります。\nエイリアスの「親」をテストする\nエイリアスの親は、元のノートのコンテナではなく、エイリアス自身のコンテナ (ノートまたはエージェント) です。ただし、より複雑なシナリオでは、ユーザーが参照する予定のエイリアス/オリジナル ノートを確立するために注意が必要です。エージェント内またはその他の場所に複数のエイリアスが存在する場合、ユーザーがコードを注意深く扱わないとあいまいさが生じる可能性があります。エイリアスを持つ親を使用する場合、いくつかの有益な考慮事項があります。\n*parent(original) のような元の指定子は、参照されているエイリアスの元のノートの親であることを明確に示します。\n* エージェント内でのみ、リンク タイプ優先演算子指定子を使用して、エージェント エイリアスがエイリアスの基になっている元のノートの親ではなく、その「親」を参照できるようにすることができます。\n* $Container 属性はエイリアスに固有のものであり、コード内でエイリアスの親子関係を確立しようとする場合、$Name(parent) よりも曖昧ではない可能性があります。
previous,"The designator previous describes the note in $OutlineOrder preceding current note.\nprevious is a less closely designed test than prevSibling as the former may be at a different outline depth.\nprevious will not match an adornment, separator, or item set to not export, but see previousItem.",指定子previousは、現在のノートの前にある$OutlineOrder内のノートを記述します。\nprevSibling はアウトラインの深さが異なる可能性があるため、prevsibling よりも厳密に設計されたテストではありません。\nprevious は、エクスポートしないように設定された装飾、区切り文字、または項目と一致しませんが、previousItem を参照してください。
previousItem,"The designator previousItem describes the note in $OutlineOrder preceding current note.\npreviousItem differs from previous in that it will match an adornment, separator, or item set to not export.",指定子previousItemは、現在のメモの前にある$OutlineOrder内のメモを記述します。\npreviousItem は、エクスポートしないように設定された装飾、セパレータ、または項目と一致するという点で、以前とは異なります。
previousSiblingItem,"The designator prevSiblingItem describes the sibling note in $OutlineOrder before the note in current focus; the previous note on the same outline level with the same parent, i.e. excluding children. \nprevSiblingItem differs from prevSibling in that it will match an adornment, separator, or item set to not export.",指定子 prevSiblingItem は、現在フォーカスされているノートの前に $OutlineOrder 内の兄弟ノートを記述します。同じ親を持つ同じアウトライン レベルにある前のノート、つまり子を除外します。\nprevSiblingItem は、エクスポートしないように設定された装飾、セパレータ、または項目と一致するという点で prevSibling とは異なります。
prevSibling,"The designator prevSibling describes the sibling note in $OutlineOrder before the note in current focus; the previous note on the same outline level with the same parent, i.e. excluding children. \nNote that whilst prevSibling is the normal assumed spelling, the alternate of previousSibling is supported, though deprecated.\nprevSibling is a more closely designed test than previous as the latter may be at a different outline depth.\nprevSibling will not match an adornment, separator, or item set to not export but see previousSiblingItem.",指定子 prevSibling は、$OutlineOrder 内で現在フォーカスされているノートの前に兄弟ノートを記述します。同じ親を持つ同じアウトライン レベルにある前のノート、つまり子を除外します。\nprevSibling は通常想定されるスペルですが、previousSibling の代替もサポートされていますが、非推奨であることに注意してください。\nprevSibling は、前のものよりも厳密に設計されたテストであり、後者はアウトラインの深さが異なる可能性があります。\nprevSibling は、エクスポートしないように設定された装飾、セパレーター、または項目と一致しませんが、previousSiblingItem を参照してください。
randomChild,"The designator randomChild returns a randomly-chosen child of the current note (i.e. this note). If the current note has no children, randomChild returns the name of the current note. For example:\n	$MyString = $Name(randomChild)",指定子randomChildは、現在のノート(つまり、このノート)のランダムに選択された子を返します。現在のノートに子がない場合、randomChild は現在のノートの名前を返します。たとえば:\n$MyString = $Name(ランダムチャイルド)
selection,"The group designator selection designates notes that are selected at the time the action is run. Thus:\n	$Color(selected)=""red""; \nturns the selected note(s) red.","グループ指定子の選択は、アクションの実行時に選択されるノートを指定します。したがって:\n$Color(selected)=""赤"";\n選択したノートを赤にします。"
that,"The designator 'that' refers to note running a query within find() code. As expressions like find() change the meaning of 'this', that provides access to the original value of this. that is evaluated in stamps.\nFor instance, it makes it possible to use an attribute value from the calling notes within a find() query in an expression. In such contexts, 'this' would apply to the note being queried by find() rather than the note calling find().\nFor example if Note A, has 'Note B' stored in $MyString and runs a rule (or some other action code) the following would fail to test each note in find() for a $MyString value of Note B:\n	find($MyString(this)==""Note B"") Fail!\nBut:\n	find($MyString(that)==""Note B"") \nwill test each note in scope of the find() query for the $MyString value stored in the calling note, i.e. Note A.","指定子「that」は、find() コード内でクエリを実行していることを示します。find() のような式は「this」の意味を変更するため、this の元の値にアクセスできるようになります。それはスタンプで評価されます。\nたとえば、式内の find() クエリ内の呼び出しメモからの属性値を使用できるようになります。このようなコンテキストでは、「this」は、find() を呼び出すノートではなく、find() によってクエリされるノートに適用されます。\nたとえば、ノート A の $MyString に「ノート B」が保存されており、ルール (またはその他のアクション コード) を実行する場合、次のコードでは、find() でノート B の $MyString 値について各ノートをテストできません。\nfind($MyString(this)==""メモ B"") 失敗しました!\nしかし:\nfind($MyString(that)==""メモ B"")\nfind() クエリのスコープ内の各ノートを、呼び出し元のノート、つまりノート A に格納されている $MyString 値をテストします。"
this,"The designator this describes the current note (i.e.the note currently in focus). The focus of this can vary slightly by context:\n* in $Rule & $Edict: the note whose rule is running\n* in $OnAdd/OnRemove: the note that is being added/removed. In context, an attribute with no designator thus refers to the note running the action\n* in $AgentQuery: the note that is being examined\n* in $AgentAction: the alias that is being examined\n* in find(), collect(), etc.: the note that is being examined\nBeware of nesting changing the context. Consider the following rule:\n	$Text=find($MyString==$Name(this)) \nAlthough the overall context is a rule, the rule contains a find, which in turn holds the 'this' designator. Therefore in the above example 'this' is evaluated in the context of the nested find() and not as in a simple $Rule. The problem is resolved by using a different designator: see 'that'.",現在のノート (つまり、現在フォーカスされているノート) を表す指定子です。この焦点はコンテキストによって若干異なる場合があります。\n* $Rule & $Edict: ルールが実行されているメモ\n* $OnAdd/OnRemove: 追加/削除されるメモ。したがって、コンテキストでは、指定子のない属性は、アクションを実行するメモを指します。\n* $AgentQuery 内: 調査対象のメモ\n* $AgentAction 内: 検査されるエイリアス\n* find()、collect() など: 調査対象のメモ\nコンテキストを変更するネストに注意してください。次のルールを考慮してください。\n$Text=find($MyString==$Name(this))\n全体的なコンテキストはルールですが、ルールには検索が含まれており、その検索には「this」指定子が保持されます。したがって、上記の例では、「this」は単純な $Rule ではなく、ネストされた find() のコンテキストで評価されます。この問題は、別の指定子を使用することで解決されます。「that」を参照してください。
