Name,OpClass,OpScope,OpType,OpReturnType,OperatorFlag,OriginalVersion,CodeFirstAdded,CodeAltered,ChangeRefSet,OSVersion,NumberOfArgs,HasNeededArguments,IsDotOp,HasDotOpVersion,HasLoopVariable,HasRegExArgument,HasScopeArgument,HasConditionalArgument,HasOptionalArgument,HasStyledOutput,HonoursLinkType,HasNoCodeSample,Text,TextJa
-,Operator,Item,Mathematical,Number,false,1.0.0,Baseline,,,,,false,false,false,false,false,false,false,false,false,,false,"- (i.e. subtraction)\nThe subtraction operator, - (minus sign character), returns the remainder of the argument before it when the argument after it is subtracted.\n	$MyNumber = 3-4; \nWhen mixing data types (a '-' might be intended as a hyphen) or if working with lists—i.e. List & Set types—see notes under concatenation.",- (つまり、減算)\n減算演算子 - (マイナス記号) は、後の引数が減算されるときに、その前の引数の残りを返します。\n$MyNumber = 3-4;\nデータ型を混合する場合 (「-」はハイフンとして使用される場合があります)、またはリストを操作する場合、つまりリストとセットのタイプ - 連結の注を参照してください。
-=,Operator,Item,Mathematical,Number,false,9.1.0,Baseline,,,,,false,false,false,false,false,false,false,false,false,,false,"-= (i.e. decrement)\nThis assignment operator is a convenient shorthand for decrementing an attribute. For example, the two following statements are equivalent:\n$MyNumber -= 3; \n$MyNumber = $MyNumber - 3; \nThis operator may also be used with Lists and Sets.",-= (つまり、デクリメント)\nこの代入演算子は、属性をデクリメントするための便利な省略表現です。たとえば、次の 2 つのステートメントは同等です。\n$MyNumber -= 3;\n$MyNumber = $MyNumber - 3;\nこの演算子はリストとセットでも使用できます。
!=,Operator,Query,Query Boolean,boolean test,false,4.6.0,Baseline,,,,,false,false,false,false,false,false,false,false,false,,false,"!= (i.e. inequality test)\nThe operator to test inequality (i.e. 'is not the same as') is '!=', an exclamation mark followed by an equals sign.\nThis operator is used either in agent queries or in the conditional part of an if(condition){action} code. It is the functional opposite of the '==' equality test.\nThis test cannot be meaningfully applied to Set or List type attribute data, as the entire attribute value is matched, rather than individual values as might otherwise be assumed. For these data types use the .contains() or .icontains() operators instead, noting the scope for ambiguous matching due to stemming of words (""car"" with match ""car"", ""cars"" and ""carrot"").\nBecause equality comparisons of Date-type data match at day scope, rather than full date/time values (for legacy reasons), use interval() to compare Date-type inequality.\nEquality testing can be negated, i.e. nested for a non-match, or combined with greater/less than for a range of tests as further explored in Basic Comparison Codes.\nFor a case-insensitive lexical equality test, use a lowercase on-the-fly transform:\n	""Absquatulate"".lowercase != ""Absquatulate"" \nIf we set $MyString to ""Absquatulate"", then:\n	$MyString.lowercase != ""Absquatulate"" \nIf $MyOtherString(Some note) has the value ""Absquatulate"", then:\n	$MyString.lowercase != $MyOtherString(Some note) \nNote the stored left-side value is not altered, but its transformed version is used in the test giving a case-insensitive comparison. This method only works for upper/lower case comparisons; accented characters are lexically different characters regardless of case.","!= (つまり、不等式テスト)\n不等号 (つまり、「は同じではない」) をテストする演算子は、感嘆符とそれに続く等号である「!=」です。\nこの演算子は、エージェントのクエリまたは if(condition){action} コードの条件部分で使用されます。これは、「==」等価性テストの逆の機能です。\nこのテストは、想定される個々の値ではなく、属性値全体が照合されるため、Set または List タイプの属性データには有意義に適用できません。これらのデータ型の場合は、代わりに .contains() または .icontains() 演算子を使用します。ただし、単語のステミングによるあいまいな一致の範囲に注意してください (「car」と「car」、「cars」、「キャロット」の一致)。\nDate 型データの等価比較は、完全な日付/時刻値ではなく (レガシーな理由により) 日のスコープで一致するため、Date 型の不等価性を比較するには、interval() を使用します。\n等価性テストは、否定することもできます。つまり、不一致に対してネストしたり、基本的な比較コードで詳しく説明するように、さまざまなテストに対して「より大きい/より小さい」と組み合わせたりすることができます。\n大文字と小文字を区別しない字句等価性テストの場合は、小文字のオンザフライ変換を使用します。\n""Absquatulate"".小文字 != ""Absquatulate""\n$MyString を「Absquatulate」に設定すると、次のようになります。\n$MyString. lowercase != ""アブスクアットレート""\n$MyOtherString(Some note) の値が ""Absquatulate"" の場合、次のようになります。\n$MyString. lowercase != $MyOtherString(メモ)\n保存された左側の値は変更されませんが、その変換されたバージョンがテストで使用され、大文字と小文字を区別しない比較が行われることに注意してください。この方法は、大文字と小文字の比較にのみ機能します。アクセント付き文字は、大文字と小文字に関係なく、語彙的に異なる文字です。"
...,Operator,Item,Mathematical,List,false,9.1.0,Baseline,,,,,false,false,false,false,false,false,false,false,false,,false,"... (i.e. range)\nThe range operator constructs a list of numbers from a specified starting point to a specified end point. Note: the range operator is written as 3 dots and not an ellipsis character. White space immediately before or after the operator is ignored as with other mathematical operators. For example:\n	1…3 → ""1;2;3""\n	3 … 1 → ""3;2;1""\nNote do not use enclosing quotes or square brackets with the range operator as the operator will not be correctly evaluated, resulting in the wrong outcome.\n	[1…3] → ""1 ... 3"" WRONG!\n	""1…3"" → ""1 ... 3"" WRONG!\nThe range operator binds more tightly than arithmetic operators. Thus\n	1...3 * 2 → ""2;4;6""\nand is the is the same as\n	(1..3) * 2 → ""2;4;6"" \ni.e. the parentheses in the second example are not needed.\nThe range operator can be useful for performing a task a specific number of times using the List.each() operator:\n	 1...10.each(x){var vPath=""/container/item ""+x; create(vPath);} \nand in that example the value of the loop variable x is the value for the source list generated by the range operator, i.e. it is the same as would occur in this literal example:\n	""1;2;3;4;5;6;7;8;9;10"".each(x){var vPath=""/container/item ""+x; create(vPath);} \nIn both cases, on the second iteration of the .each() loop, the loop variable x would have the value 2.\nUsing non-literal range specifiers\nIt may be useful to define one or both range limits. For example, if $MyNumber is 3:\n	$MyList = [1 ... $MyNumber]; gives ""1;2;3""\nor if variable vNum is 4:\n	$MyList = 1 ..vNum; gives ""1;2;3;5""\nBut for more complex expressions using chained operators, parentheses my be needed to hint intent to Tinderbox. Thus, if $MySet has 4 items:\n	$MyList = 1 ... $MySet.size; gives ""1"" WRONG\nso add parentheses around the expression:\n	$MyList = 1 ... ($MySet.size); gives ""1;2;3;4"" CORRECT\nIf chaining operators to range specified using expressions, consider using parentheses around the whole range definition:\n	(1 ... ($MySet.size)).each(x){$Text+= x+""\n"";}; \nThe last example actually works without the parentheses but illustrates the concept.\nUsing range to supply a loop counter\nWhen working with List.each(), it can be useful to know which source list item is being currently in scope. It is possible to use a variable (see here), but the range operator offers another method. In this method a range-generated list is iterated and in-loop the list being processed is called via List.at(). It in important to note that as .at() numbers from zero, either the range must start from zero, or the range item used with at must be adjusted by -1.\nIn the following example, $MyList holds the data of interest, and a zero-based range with be generated:\n	(0 ... ($MyList.count)).each(N){\n		$MyList.at(N) ..tc.\n	}\nThus for loop #3, the value of N will be 2 (recall the range code is making a zero based list of numbers). Thus in-loop, $MyList.at(N) will be the same as $MyList.at(2), i.e. addressing the the third item in $MyList.","... (範囲)\nrange 演算子は、指定された開始点から指定された終了点までの数値のリストを構築します。注: 範囲演算子は、省略記号文字ではなく 3 つのドットとして記述されます。他の算術演算子と同様に、演算子の直前または直後の空白は無視されます。たとえば:\n1…3 → 「1;2;3」\n3 … 1 → 「3;2;1」\n演算子が正しく評価されず、間違った結果が生じるため、範囲演算子で囲む引用符や角括弧を使用しないでください。\n[1…3] →「1…3」は間違っています!\n「1…3」→「1…3」は間違いです！\n範囲演算子は、算術演算子よりも厳密にバインドされます。したがって、\n1...3 * 2 → ""2;4;6""\nと同じです\n(1..3) * 2 → ""2;4;6""\nつまり、2 番目の例のかっこは必要ありません。\nrange 演算子は、List.each() 演算子を使用して特定の回数タスクを実行する場合に便利です。\n1...10.each(x){var vPath=""/container/item ""+x;作成(vPath);}\nこの例では、ループ変数 x の値は、範囲演算子によって生成されたソース リストの値です。つまり、このリテラルの例で発生するものと同じです。\n""1;2;3;4;5;6;7;8;9;10"".each(x){var vPath=""/container/item ""+x;作成(vPath);}\nどちらの場合も、.each() ループの 2 回目の反復では、ループ変数 x の値は 2 になります。\n非リテラル範囲指定子の使用\n一方または両方の範囲制限を定義すると便利な場合があります。たとえば、$MyNumber が 3 の場合:\n$MyList = [1 ... $MyNumber];「1;2;3」を返します\nまたは、変数 vNum が 4 の場合:\n$MyList = 1 ..vNum;「1;2;3;5」を返します\nただし、連鎖演算子を使用するより複雑な式の場合は、Tinderbox に意図を示すためにかっこが必要になる場合があります。したがって、$MySet に 4 つの項目がある場合:\n$MyList = 1 ... $MySet.size;「1」は間違っています\nしたがって、式の周囲にかっこを追加します。\n$MyList = 1 ... ($MySet.size);「1;2;3;4」が正解です\n式を使用して指定された範囲に演算子を連鎖させる場合は、範囲定義全体を括弧で囲むことを検討してください。\n(1 ... ($MySet.size)).each(x){$Text+= x+""\n"";};\n最後の例は実際には括弧なしで動作しますが、概念を示しています。\n範囲を使用してループカウンターを供給する\nList.each() を使用する場合、どのソース リスト項目が現在スコープ内にあるかを知ると便利です。変数を使用することもできますが (こちらを参照)、範囲演算子には別の方法があります。このメソッドでは、範囲で生成されたリストが反復され、ループ内で処理中のリストが List.at() を介して呼び出されます。.at() はゼロから番号を付けるため、範囲はゼロから開始するか、at で使用される範囲項目を -1 で調整する必要があることに注意することが重要です。\n次の例では、$MyList に対象のデータが保持され、ゼロから始まる範囲が生成されます。\n(0 ... ($MyList.count)).each(N){\n$MyList.at(N) ..tc。\n}\nしたがって、ループ #3 では、N の値は 2 になります (範囲コードがゼロベースの数値リストを作成していることを思い出してください)。したがって、ループ内では、$MyList.at(N) は $MyList.at(2) と同じになります。つまり、$MyList の 3 番目の項目をアドレス指定します。"
(!$AttributeName),Operator,Item,Query Boolean,boolean test,false,4.6.0,Baseline,,,,,false,false,false,false,false,false,false,false,false,,false,"(!$AttributeName)\nIn queries and conditional action code expressions, preceding a '$'-prefixed attribute name with an exclamation mark functions as a shortened form of the Boolean test for a false value. Due to limitations in the underlying parser, an inequality test expression must be enclosed in parentheses.Thus the following are functional equivalents:\n	$MyBoolean==false \n	(!$MyBoolean) \nDo not use this form or you may get unexpected results:\n	!$MyBoolean Do not use this format, without parentheses!\nIn both cases the result is false if the value of $MyBoolean is false. \nUsefully Tinderbox also useful supports such short-form !$AttributeName tests for all the other attribute data types, returning true if the attribute has a default value. Per data type, this equates to long form tests like:\n	$MyBoolean==false \n	$MyColor=="""" \n	$MyDate==""never"" \n	$MyDictionary=="""" \n	$MyFile=="""" \n	$MyInterval==""00:00"" \n	$MyList==[] (or (deprecated) $MyList=="""") \n	$MyNumber==0 \n	$MySet==[] (or (deprecated) $MyList=="""") \n	$MyString=="""" \n	$MyURL=="""" \nThis also holds for system-only data types:\n	$MyAction=="""" \n	$MyFont=="""" \nIn all these cases a short-form test returns true if the attribute value is the default for that data type.\nThis test is the logical opposite of the $AttributeName test.","(!$属性名)\nクエリおよび条件アクション コード式では、「$」で始まる属性名の前に感嘆符を付けると、偽値のブール テストの短縮形として機能します。基礎となるパーサーの制限のため、不等式テスト式は括弧で囲む必要があります。したがって、以下は機能的に同等です。\n$MyBoolean==false\n(!$MyBoolean)\nこのフォームは使用しないでください。使用しないと、予期しない結果が生じる可能性があります。\n!$MyBoolean この形式は括弧なしで使用しないでください。\nどちらの場合も、$MyBoolean の値が false の場合、結果は false になります。\n便利なことに、Tinderbox は、他のすべての属性データ型に対してこのような短い形式の !$AttributeName テストをサポートしており、属性にデフォルト値がある場合に true を返します。データ型ごとに、これは次のような長い形式のテストに相当します。\n$MyBoolean==false\n$MyColor==""""\n$MyDate==""決して""\n$MyDictionary==""""\n$MyFile==""""\n$MyInterval==""00:00""\n$MyList==[] (または (非推奨) $MyList=="""")\n$MyNumber==0\n$MySet==[] (または (非推奨) $MyList=="""")\n$MyString==""""\n$MyURL==""""\nこれは、システムのみのデータ型にも当てはまります。\n$MyAction==""""\n$MyFont==""""\nこれらすべての場合において、属性値がそのデータ型のデフォルトである場合、短い形式のテストは true を返します。\nこのテストは、$AttributeName テストの論理的に逆です。"
*,Operator,Item,Mathematical,Number,false,4.6.0,Baseline,,,,,false,false,false,false,false,false,false,false,false,,false,"* (i.e. multiplication)\nThe multiplication operator, * (asterisk character), returns the multiplication of the arguments before and after it.\n	$MyNumber = 3*4; \nBoth arguments are normally Number-type data.\nMultiplying Strings\nSometimes there is a need to expand or repeat a String. For this, the multiplication operator * may be used. Due to Tinderbox's internal type coercion effects, the number argument must be used as the first argument; placing it after the * will cause a silent fail with no resulting output. Thus, the expression:\n	$MyString = 3*""xyz ""; \nevaluates to a string ""xyz xyz xyz"". But this:\n	$MyString = ""xyz ""*3; WRONG!\nwill return nothing.\nMultiplying Lists and Sets\nLists and Sets of numbers may be multiplied by a number. Two lists of numbers may be multiplied if they have the same length, in which case their elements are multiplied.\n	[1;2;3;4] * [1;2;3;4]; ➛ [1;4;9;12] \nor, using the range operator:\n	1...4 * 1...4 ➛ 1;4;9;12","* (つまり、乗算)\n乗算演算子 * (アスタリスク文字) は、その前後の引数の乗算を返します。\n$MyNumber = 3*4;\n通常、両方の引数は数値型のデータです。\n文字列の乗算\n場合によっては、文字列を展開したり繰り返したりする必要があります。このために、乗算演算子 * を使用できます。Tinderbox の内部型強制効果により、number 引数を最初の引数として使用する必要があります。これを * の後に配置すると、サイレント エラーが発生し、結果は出力されません。したがって、式は次のようになります。\n$MyString = 3*""xyz "";\n文字列「xyz xyz xyz」として評価されます。しかし、これは：\n$MyString = ""xyz ""*3;間違っている！\n何も返しません。\nリストとセットの乗算\n数値のリストとセットには数値を乗算できます。2 つの数値リストは、長さが同じであれば乗算できます。この場合、それらの要素は乗算されます。\n[1;2;3;4] * [1;2;3;4];➛ [1;4;9;12]\nまたは、範囲演算子を使用します。\n1...4 * 1...4 ➛ 1;4;9;12"
/,Operator,Item,Mathematical,Number,false,4.6.0,Baseline,,,,,false,false,false,false,false,false,false,false,false,,false,"/ (i.e. division)\nThe division operator, / (forward slash character), returns the argument before it divided by the argument after it.\n	$MyNumber = 3/4; \nBy default, up to 5 decimal places are returned, so:\n	$MyNumber = 10/3; \nresults in $MyNumber having a value of 3.33333. \nBe aware the forward slash character has many other symbolic meanings (POSIX folder delimiter, linguistic use e.g. 'and/or', date component delimiters, etc.). Be careful to ensure to quote or escape the / character where you do not want Tinderbox to assume a division.",/ (つまり、割り算)\n除算演算子 / (スラッシュ文字) は、前の引数を後の引数で割った値を返します。\n$MyNumber = 3/4;\nデフォルトでは、小数点以下 5 桁までが返されるため、次のようになります。\n$MyNumber = 10/3;\n結果として、$MyNumber の値は 3.33333 になります。\nスラッシュ文字には他の多くの記号的な意味があることに注意してください (POSIX フォルダーの区切り文字、「and/or」などの言語使用、日付コンポーネントの区切り文字など)。Tinderbox に除算を想定させたくない場所では、/ 文字を引用符で囲むかエスケープするように注意してください。
&,Operator,Query,Query Boolean,boolean test,false,4.6.0,Baseline,,,,,false,false,false,false,false,false,false,false,false,,false,"& (i.e. query logical AND join)\nThe ampersand, &, is used in queries and conditional statements as a logical AND join. Thus:\n	if ($HasStock == true & $Price > 20) {$Badge=""ok"";} \nThe note's $Badge is only set if both the first and the second argument are true.\nSee also the OR join and conditional statements using multiple arguments.","& (つまり、クエリ論理 AND 結合)\nアンパサンド & は、クエリおよび条件ステートメントで論理 AND 結合として使用されます。したがって:\nif ($HasStock == true & $Price > 20) {$Badge=""ok"";}\nメモの $Badge は、最初の引数と 2 番目の引数の両方が true の場合にのみ設定されます。\n複数の引数を使用した OR 結合および条件ステートメントも参照してください。"
&=,Operator,Item,Assignment,assignment,false,4.6.0,Baseline,,,,,false,false,false,false,false,false,false,false,false,,false,"&= (i.e. logical AND assignment)\nTo make it easier to write rules succinctly, you can use the assignment:\n	$TheAttribute &= the_expression; \n…which sets $TheAttribute to the value of the_expression only if it is currently evaluated as true AND the_expression is also evaluates as true. Thus, if $TheAttribute is false, the expression is still evaluated. An attribute that has no value set (or inherited) is evaluated as false.\nFor most attributes, especially new user attributes, the default value will evaluate as false. But, $TheAttribute's data type does not have to be Boolean.\nFor new String-type attributes (and string-based Action/Color/File/Font/Interval/List/Set/URL types) the default is an empty string """". For Number-type, is it 0 (zero). For Date-type, it is the string ""never"". For Boolean-type, is it 'false' (with no quotes, and shown as un-ticked if displayed via a tick-box). The """", 0 and ""never"" values—for the appropriate data types—evaluate as false. But, be aware that not all system attributes follow this assumption. For instance, the $Color default is preset to use a named Tinderbox colour, so its default value (even if inherited) would evaluate as true .\nPrototypes have no direct effect as the outcome, as it initially depends on the evaluation of the left-side attribute value regardless of whether document default, prototype inherited or locally set.\nFor example, for the Boolean-type attribute $Urgent:\n	$Urgent &= any(children,$Urgent); \nThus a project is considered urgent if it has been declared to be urgent itself and if any child is urgent.\nSee also the logical OR assignment.\nErrors to the function logic were corrected.","&= (つまり、論理 AND 代入)\nルールを簡潔に記述しやすくするために、次の割り当てを使用できます。\n$TheAttribute &= the_expression;\n…現在 true と評価され、かつ the_expression も true と評価される場合にのみ、$TheAttribute を the_expression の値に設定します。したがって、$TheAttribute が false の場合でも、式は評価されます。値が設定されていない (または継承されていない) 属性は false として評価されます。\nほとんどの属性、特に新しいユーザー属性では、デフォルト値は false として評価されます。ただし、$TheAttribute のデータ型はブール型である必要はありません。\n新しい文字列タイプの属性 (および文字列ベースの Action/Color/File/Font/Interval/List/Set/URL タイプ) のデフォルトは空の文字列 """" です。Number型の場合は0（ゼロ）になります。日付型の場合は「never」という文字列になります。ブール型の場合、「false」ですか (引用符なし、チェックボックスで表示されている場合はチェックされていない状態で表示されます)。適切なデータ型の場合、「」、0、および「never」の値は false として評価されます。ただし、すべてのシステム属性がこの前提に従っているわけではないことに注意してください。たとえば、 $Color のデフォルトは名前付きの Tinderbox カラーを使用するようにプリセットされているため、そのデフォルト値は (継承されている場合でも) true として評価されます。\nプロトタイプは、ドキュメントのデフォルト、継承されたプロトタイプ、またはローカルに設定されたかどうかに関係なく、最初は左側の属性値の評価に依存するため、結果として直接的な影響はありません。\nたとえば、ブール型属性 $Urgent の場合:\n$Urgent &= any(children,$Urgent);\nしたがって、プロジェクト自体が緊急であると宣言されており、子が緊急である場合、そのプロジェクトは緊急であるとみなされます。\n論理 OR の割り当ても参照してください。\n関数ロジックのエラーが修正されました。"
%matches,Property,Query,Data manipulation,List,false,9.6.0,Baseline,,,,,false,false,false,false,false,false,false,false,false,,false,"%matches\nThe expression %matches represents a list that contains all available back-references to regular expression matches. This is equivalent to the list of back reference values [$0;$1;$2….$N], where N is the count of available regular expression matches.\nIf $MyString is ""I do not like green eggs and ham."", then for this code:\n	if($MyString.contains(""like (((green) (eggs)) and ham)"")){\n		$MyList = %matches;\n	};\n$MyList now holds 5 back-references:\n* $0: like green eggs and ham\n* $1 green eggs and ham\n* $2 green eggs\n* $3 green\n* $4 eggs\nQuery back-references are discussed in fuller detail here.","%一致\n式 %matches は、正規表現一致への利用可能なすべての後方参照を含むリストを表します。これは、後方参照値 [$0;$1;$2….$N] のリストと同等です。N は、使用可能な正規表現一致の数です。\n$MyString が「緑色の卵とハムが好きではありません。」の場合、このコードでは次のようになります。\nif($MyString.contains(""(((緑) (卵)) とハム)"")){\n$MyList = %一致;\n};\n$MyList には 5 つの後方参照が保持されるようになりました。\n* $0: 緑の卵やハムなど\n* 緑の卵とハム 1 ドル\n* 緑色の卵 2 ドル\n* $3 グリーン\n* 卵4ドル\nクエリ逆参照については、ここで詳しく説明します。"
