Name,AttributeDataType,AttributeDefault,AttributeGroup,AttributePurpose,AttributeInheritsPrefs,AttributeReadOnly,AttributeIntrinsic,OriginalVersion,CodeFirstAdded,CodeAltered,PlainLinkCount,TextLinkCount,WebLinkCount,ChangeRefSet,IsInternalOnly,HasUISetting,Text,TextJa
Abstract,string,(not set - empty string),References,Data synch,,,,7.2.2,Baseline,,,,,,,,Holds the abstract from reference imports.\nPreviously this data was imported to $Text.,参照インポートからの要約を保持します。\n以前は、このデータは $Text にインポートされていました。
AccentColor,color,dark warm gray dark,Appearance,Map item general configuration,,,,7.2.0,Baseline,,,,,,,true,"Specifies the note's accent colour (replaces $Color2)\nIt is used for the alternate colour of the $Pattern drawn on the (background) $Color of a note in a map view.\nIt is also used for the accent colour in bar() and vbar() map progress bar patterns, as well as container plots.\nThe default is 'dark warm gray dark'.\nThe colour can be set via the Appearance Inspector ▸ Interior tab.\nRetained for backwards compatibility, $Color2 is deprecated in favour of $AccentColor which fulfils the same role but with a more descriptive name. Both set the same colour.",メモのアクセントカラーを指定します ($Color2 を置き換えます)\nこれは、マップ ビュー内のメモの (背景) $Color 上に描画される $Pattern の代替色として使用されます。\nこれは、bar() および vbar() マップのプログレス バー パターン、およびコンテナー プロットのアクセント カラーにも使用されます。\nデフォルトは「ダークウォームグレーダーク」です。\n色は、[外観インスペクター] ▸ [インテリア] タブで設定できます。\n下位互換性のために残されている $Color2 は非推奨となり、同じ役割を果たすがよりわかりやすい名前を持つ $AccentColor が優先されます。どちらも同じ色を設定します。
AccessDate,string,(not set - empty string),References,Data synch,,,,5.11.0,Baseline,,,,,,,,Used for Bookends reference import. Maps to RIS data tag 'Y2'.,Bookends リファレンスのインポートに使用されます。RIS データタグ「Y2」にマップします。
Address,string,(not set - empty string),Places,Locational data,,,,3.5.1,Baseline,,,,,,,,"Intended for storing a person's address.\nIf populated, Tinderbox will attempt automatic geolocation and to populate $Latitude and $Longitude.",個人のアドレスを保存することを目的としています。\n入力されている場合、Tinderbox は自動地理位置情報の入力を試み、$Latitude と $Longitude を入力しようとします。
AdornmentCount,number,(calculated),General,Calculated data,,true,,6.0.0,Baseline,,,,,,,,The number of adornments that are immediate children of this agent or container.\nAdornments are not included in $ChildCount.,このエージェントまたはコンテナの直接の子である装飾品の数。\n装飾品は $ChildCount に含まれません。
AdornmentFont,font,RingsideCondensedSSm-Light,Map,Map configuration,,,,7.0.0,Baseline,,,,,,,,"This determines the font used by adornments.\nIf $AdornmentFont is empty, then the value of $NameFont is used. The default value of $AdornmentFont is Ringside Condensed.",これにより、装飾で使用されるフォントが決まります。\n$AdornmentFont が空の場合は、$NameFont の値が使用されます。$AdornmentFont のデフォルト値は Ringside Condensed です。
AgentAction,action,(not set - empty string),Agent,Action code,,,,1.0.0,Baseline,,,,,,,true,"Action code expression that an agent2 applies to each of its matching aliased notes, i.e. its children.\nThe agent's actions are applied to aliases though the exact object referenced be modified by use of the 'original' (especially for intrinsic attributes) or 'agent2' designators.\nThe contents of $AgentAction are shown in the Action Inspector ▸ Action sub-tab, allowing review and manual editing of its value. This attribute is the equivalent of $OnAdd for a normal container note. The agent's actual $OnAdd attribute is ignored for action purposes. $AgentAction can also be set via the ▸ agent tab.",Agent2 が一致するエイリアス付きノート、つまりその子それぞれに適用するアクション コード式。\nエージェントのアクションはエイリアスに適用されますが、参照される正確なオブジェクトは「original」(特に組み込み属性の場合) または「agent2」指定子を使用して変更されます。\n$AgentAction の内容は [アクション インスペクター] ▸ [アクション] サブタブに表示され、その値を確認して手動で編集できます。この属性は、通常のコンテナ ノートの $OnAdd に相当します。エージェントの実際の $OnAdd 属性は、アクションの目的では無視されます。$AgentAction は、▸ エージェント タブからも設定できます。
AgentCaseSensitive,boolean,false,Agent,Agent configuration,,,,1.0.0,Baseline,,,,,,,,"Control case-sensitivity of the agent query.\nUsed for agents and (smart) adornments only. It can only modify the String.contains() operator (and older deprecated precursors) and not list.contains().\nThough not itself formally deprecated, $AgentCaseSensitive is really only of use if using now-deprecated very old early action code syntax which some long-standing documents may contain.",エージェントのクエリの大文字と小文字の区別を制御します。\nエージェントおよび（スマート）装飾品にのみ使用されます。変更できるのは String.contains() 演算子 (および古い非推奨のプリカーサー) のみであり、list.contains() は変更できません。\n$AgentCaseSensitive 自体は正式には非推奨ではありませんが、実際に役立つのは、一部の長年のドキュメントに含まれる可能性がある、現在非推奨となっている非常に古い初期のアクション コード構文を使用する場合のみです。
AgentPriority,number,1,Agent,Agent configuration,,,,2.5.0,Baseline,,,,,,,true,"Allows agent to run less frequently than normal, or be turned off.\nA pop-up menu in the agent's Action Inspector ▸ Query sub-tab, or Get Info ▸ agent tab, allows manual change of agent priority. Regardless of the setting, every agent is updated before export and when updating manually, except for agents that have been turned off.\nUnless an agent is turned off before creating a query, an agent query will always run at least once as soon as the agent is first created.\nThe mapping of number values to the text names used in the Priority pop-up menu on the Get Info agent tab and the Action Inspector Query sub-tab is as follows:\n* Highest = 0. Runs every few seconds.\n* Normal = 1 (default). Runs roughly every ten seconds.\n* Low = 4. Runs roughly every minute.\n* Lowest = 10. Runs roughly every five minutes'\n* Occasional = 20. Runs roughly every thirty minutes.\n* Off = -1. Does not run (retains any existing aliases)\nThe $AgentPriority can only be set as a number. Do not use text values or you get an error. Any other number value than those listed above causes the dialog pop-up to show 'highest'. Whether this is the real result, i.e. that setting '9' results in the same as setting '0' is not clear.\nAll agents that are not 'off' run once on document load or a force refresh of agents.\nThe default value of $AgentPriority is 1, which will cause the agent to be checked at roughly ten second intervals. Higher values of $AgentPriority cause the agent to be checked less frequently.\nSetting $AgentPriority to 0 asks Tinderbox to check the agent as frequently as possible.\nSetting $AgentPriority to -1 asks Tinderbox to retain existing matches but never update, effectively turning the agent off whilst retaining the last set of data and is excluded from Export and 'manual' update agent updates. Thus the current results can be 'frozen' and persist between sessions. However, if an agent is being turned off just to drop it out of regular cycles it will need to manually be set to a value or zero or greater before it can be used/updated and manually reset to 'off' after use if it desired to 'freeze' it again. When an agent is off:\n* Query does not run\n* Agent actions ($AgentAction, $OnRemove) do not run.\n* Agent rules and edicts still run, i.e. in the agent itself\n* Child aliases' rules and edicts still run.",エージェントを通常よりも少ない頻度で実行するか、オフにすることができます。\nエージェントの [アクション インスペクター] ▸ [クエリ] サブタブ、または [情報を取得] ▸ エージェント タブのポップアップ メニューを使用して、エージェントの優先順位を手動で変更できます。設定に関係なく、エクスポート前および手動更新時に、オフになっているエージェントを除くすべてのエージェントが更新されます。\nクエリを作成する前にエージェントをオフにしない限り、エージェント クエリは、エージェントが最初に作成されるとすぐに少なくとも 1 回は常に実行されます。\n「情報を取得」エージェントタブおよびアクションインスペクタの「クエリ」サブタブの「優先度」ポップアップメニューで使用されるテキスト名への数値のマッピングは次のとおりです。\n* 最高 = 0。数秒ごとに実行されます。\n* 通常 = 1 (デフォルト)。およそ 10 秒ごとに実行されます。\n* 低 = 4。ほぼ毎分実行されます。\n* 最低値 = 10。およそ 5 分ごとに実行されます。\n* 不定期 = 20。およそ 30 分ごとに実行されます。\n* オフ = -1。実行されません (既存のエイリアスは保持されます)\n$AgentPriority は数値としてのみ設定できます。テキスト値は使用しないでください。使用すると、エラーが発生します。上記以外の数値を指定すると、ダイアログ ポップアップに「最高」と表示されます。これが実際の結果であるかどうか、つまり、「9」を設定すると「0」を設定した場合と同じ結果になるかどうかは不明です。\n「オフ」ではないすべてのエージェントは、ドキュメントのロード時またはエージェントの強制更新時に 1 回実行されます。\n$AgentPriority のデフォルト値は 1 で、これによりエージェントは約 10 秒間隔でチェックされます。$AgentPriority の値が大きいほど、エージェントのチェック頻度が低くなります。\n$AgentPriority を 0 に設定すると、Tinderbox ができるだけ頻繁にエージェントをチェックするように求められます。\n$AgentPriority を -1 に設定すると、Tinderbox は既存の一致を保持するが更新はしないように要求され、最後のデータ セットを保持しながら事実上エージェントをオフにし、エクスポートおよび「手動」更新エージェントの更新から除外されます。したがって、現在の結果は「凍結」され、セッション間で保持されることがあります。ただし、エージェントを通常のサイクルから外すためだけにオフにしている場合は、エージェントを使用/更新する前に手動で値または 0 以上に設定する必要があります。また、エージェントを再び「フリーズ」したい場合は、使用後に手動で「オフ」にリセットする必要があります。エージェントがオフの場合:\n* クエリは実行されません\n* エージェントのアクション ($AgentAction、$OnRemove) は実行されません。\n* エージェントのルールと布告は引き続き実行されます (つまり、エージェント自体で)\n* 子のエイリアスのルールと布告は引き続き実行されます。
AgentQuery,string,(not set - empty string),Agent,Action code,,,,1.0.0,Baseline,,,,,,,true,Action code expression an agent will use to match and gather notes.\nShown as an input box in the Action Inspector ▸ Query sub-tab of agents and smart adornments.,エージェントがメモを照合して収集するために使用するアクション コード式。\n[アクション インスペクター] ▸ エージェントとスマート装飾品の [クエリ] サブタブの入力ボックスとして表示されます。
